Date,Team,Division,Score,Opponent,Travel_km,Game_Status,Team_Status,Score_Type,Temp,Windspeed,Humidity,Visibility,Precipitation,Cast,Date_day,Total_Score
2019-07-21 15:30:00,London Blitz,Premiership South,42,0,0,@ Home,W,Score @ Home,65.2,13.1,69.0,25.4,0.0,clear-day,2019-07-21,42
2019-06-30 14:00:00,London Blitz,Premiership South,20,8,195,@ Away,W,Score @ Away,62.3,13.9,76.0,18.8,0.0,partly-cloudy-day,2019-06-30,28
2019-06-23 16:00:00,London Blitz,Premiership South,7,54,0,@ Home,L,Score @ Home,65.2,13.1,71.6,14.6,0.0,clear-day,2019-06-23,61
2019-05-26 14:00:00,London Blitz,Premiership South,33,0,71,@ Away,W,Score @ Away,59.9,15.1,80.1,27.3,0.01,rain,2019-05-26,33
2019-05-19 14:00:00,London Blitz,Premiership South,42,7,26,@ Away,W,Score @ Away,55.5,6.2,79.2,7.0,0.0,partly-cloudy-day,2019-05-19,49
2019-12-05 14:30:00,London Blitz,Premiership South,21,14,25,@ Away,W,Score @ Away,36.6,16.5,90.2,7.8,0.01,rain,2019-12-05,35
2019-05-05 14:00:00,London Blitz,Premiership South,15,46,25,@ Away,L,Score @ Away,42.2,10.7,63.9,18.8,0.02,rain,2019-05-05,61
2019-04-28 13:30:00,London Blitz,Premiership South,41,0,0,@ Home,W,Score @ Home,48.7,14.7,64.3,23.1,0.01,rain,2019-04-28,41
2019-04-21 15:30:00,London Blitz,Premiership South,33,2,0,@ Home,W,Score @ Home,60.4,11.5,48.6,11.8,0.0,clear-day,2019-04-21,35
2019-07-28 14:00:00,London Warriors,Premiership South,55,0,203,@ Away,W,Score @ Away,63.1,14.6,69.6,20.7,0.0,partly-cloudy-day,2019-07-28,55
2019-07-21 14:00:00,London Warriors,Premiership South,58,0,0,@ Home,W,Score @ Home,63.6,12.5,72.8,26.2,0.0,partly-cloudy-day,2019-07-21,58
2019-07-07 15:00:00,London Warriors,Premiership South,80,0,13,@ Away,W,Score @ Away,61.5,7.2,79.2,15.2,0.12,rain,2019-07-07,80
2019-06-23 16:00:00,London Warriors,Premiership South,54,7,25,@ Away,W,Score @ Away,65.2,13.1,71.6,14.6,0.0,clear-day,2019-06-23,61
2019-06-16 14:30:00,London Warriors,Premiership South,54,7,16,@ Away,W,Score @ Away,58.6,17.6,78.6,18.2,0.07,rain,2019-06-16,61
2019-02-06 14:00:00,London Warriors,Premiership South,70,0,67,@ Away,W,Score @ Away,44.5,14.9,92.8,8.8,0.09,rain,2019-02-06,70
2019-05-26 14:00:00,London Warriors,Premiership South,71,6,0,@ Home,W,Score @ Home,61.8,15.0,75.3,25.6,0.01,rain,2019-05-26,77
2019-05-19 14:00:00,London Warriors,Premiership South,38,0,0,@ Home,W,Score @ Home,55.2,6.4,79.8,6.7,0.0,partly-cloudy-day,2019-05-19,38
2019-05-05 14:00:00,London Warriors,Premiership South,46,15,0,@ Home,W,Score @ Home,42.2,10.7,63.9,18.8,0.02,rain,2019-05-05,61
2019-04-21 14:00:00,London Warriors,Premiership South,85,0,0,@ Home,W,Score @ Home,59.2,8.3,51.5,12.9,0.0,clear-day,2019-04-21,85
2019-07-28 13:30:00,London Olympians,Premiership South,14,15,25,@ Away,L,Score @ Away,65.3,13.9,70.6,25.2,0.0,clear-day,2019-07-28,29
